conditions,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,key_resp.started,key_resp.keys,key_resp.rt,stimulus_text.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,11.473717750000105,11.473717750000105,space,3.8352352090005297,,,,,,,,,908404,001,2023-04-18_17h13.25.167,crux_code,2022.2.5,59.920605198265065,
eyes,0,0,0,3,,,,,15.365107624999837,0.01490808400012611,[0.0397489539748954],[0.16108786610878661],[1],[0],[0],[1.4194872919997579],908404,001,2023-04-18_17h13.25.167,crux_code,2022.2.5,59.920605198265065,
head,0,1,1,4,,,,,16.785244166000666,0.005405125000834232,[0.0397489539748954],[0.16108786610878661],[1],[0],[0],[0.17631312499997875],908404,001,2023-04-18_17h13.25.167,crux_code,2022.2.5,59.920605198265065,
left hand,0,2,2,1,,,,,16.968985416000578,0.0062604160002592835,[0.0397489539748954],[0.16108786610878661],[1],[0],[0],[0.14230858300015825],908404,001,2023-04-18_17h13.25.167,crux_code,2022.2.5,59.920605198265065,
right hand,0,3,3,2,,,,,17.118773832999977,0.004696916999819223,[0.0397489539748954],[0.16108786610878661],[1],[0],[0],[0.1607577080003466],908404,001,2023-04-18_17h13.25.167,crux_code,2022.2.5,59.920605198265065,
feet,0,4,4,0,,,,,17.28638204100025,0.0023987090007722145,[0.0397489539748954],[0.16108786610878661],[1],[0],[0],[0.11318624999967142],908404,001,2023-04-18_17h13.25.167,crux_code,2022.2.5,59.920605198265065,
feet,1,0,5,0,,,,,17.402793083000688,0.00035904099968320224,[0.0397489539748954],[0.16108786610878661],[1],[0],[0],[0.13216941700011375],908404,001,2023-04-18_17h13.25.167,crux_code,2022.2.5,59.920605198265065,
left hand,1,1,6,1,,,,,17.535677750000104,0.003349708000314422,[0.0397489539748954],[0.16108786610878661],[1],[0],[0],[0.12873604200012778],908404,001,2023-04-18_17h13.25.167,crux_code,2022.2.5,59.920605198265065,
right hand,1,2,7,2,,,,,17.669138958000076,0.003667166999548499,[0.0397489539748954],[0.16108786610878661],[1],[0],[0],[0.14542304199949285],908404,001,2023-04-18_17h13.25.167,crux_code,2022.2.5,59.920605198265065,
eyes,1,3,8,3,,,,,17.81902637500025,0.0022403330003726296,[0.0397489539748954],[0.16108786610878661],[1],[0],[0],[0.13002233400038676],908404,001,2023-04-18_17h13.25.167,crux_code,2022.2.5,59.920605198265065,
head,1,4,9,4,,,,,17.952355000000352,0.0023445410006388556,[0.0397489539748954],[0.16108786610878661],[1],[0],[0],[0.14609508299963636],908404,001,2023-04-18_17h13.25.167,crux_code,2022.2.5,59.920605198265065,
head,2,0,10,4,,,,,18.102118333000362,0.0004392079999888665,[0.0397489539748954],[0.16108786610878661],[1],[0],[0],[0.13191208300031576],908404,001,2023-04-18_17h13.25.167,crux_code,2022.2.5,59.920605198265065,
feet,2,1,11,0,,,,,18.235614250000253,0.0025114999998550047,[0.0397489539748954],[0.16108786610878661],[1],[0],[0],[0.12921450000067125],908404,001,2023-04-18_17h13.25.167,crux_code,2022.2.5,59.920605198265065,
eyes,2,2,12,3,,,,,18.369392000000516,0.0021619159997499082,[0.0397489539748954],[0.16108786610878661],[1],[0],[0],[0.14675287499994738],908404,001,2023-04-18_17h13.25.167,crux_code,2022.2.5,59.920605198265065,
right hand,2,3,13,2,,,,,18.51919854100015,0.00351799999953073,[0.0397489539748954],[0.16108786610878661],[1],[0],[0],[0.2951335409998137],908404,001,2023-04-18_17h13.25.167,crux_code,2022.2.5,59.920605198265065,
left hand,2,4,14,1,,,,,18.819163875000413,0.0033007090005412465,[0.0397489539748954],[0.16108786610878661],[1],[0],[0],[0.14668704199993954],908404,001,2023-04-18_17h13.25.167,crux_code,2022.2.5,59.920605198265065,
feet,3,0,15,0,,,,,18.970091500000308,0.0020998339996367577,[0.0397489539748954],[0.16108786610878661],[1],[0],[0],[0.14646941699993477],908404,001,2023-04-18_17h13.25.167,crux_code,2022.2.5,59.920605198265065,
right hand,3,1,16,2,,,,,19.119505624999874,0.0033364170003551408,[0.0397489539748954],[0.16108786610878661],[1],[0],[0],[0.2957909169999766],908404,001,2023-04-18_17h13.25.167,crux_code,2022.2.5,59.920605198265065,
head,3,2,17,4,,,,,19.420155708000493,0.002261749999888707,[0.0397489539748954],[0.16108786610878661],[1],[0],[0],[0.16359270800057857],908404,001,2023-04-18_17h13.25.167,crux_code,2022.2.5,59.920605198265065,
left hand,3,3,18,1,,,,,19.586267958000462,0.0028650409994952497,[0.0397489539748954],[0.16108786610878661],[1],[0],[0],[0.2955524589997367],908404,001,2023-04-18_17h13.25.167,crux_code,2022.2.5,59.920605198265065,
eyes,3,4,19,3,,,,,19.886408291000407,0.002247290999548568,[0.0397489539748954],[0.16108786610878661],[1],[0],[0],[0.16386320799938403],908404,001,2023-04-18_17h13.25.167,crux_code,2022.2.5,59.920605198265065,
left hand,4,0,20,1,,,,,20.053016666000076,0.002977624999402906,[0.0397489539748954],[0.16108786610878661],[1],[0],[0],[0.14499583300039376],908404,001,2023-04-18_17h13.25.167,crux_code,2022.2.5,59.920605198265065,
eyes,4,1,21,3,,,,,20.203179333000662,0.0019341670003996114,[0.0397489539748954],[0.16108786610878661],[1],[0],[0],[0.1475641249999171],908404,001,2023-04-18_17h13.25.167,crux_code,2022.2.5,59.920605198265065,
right hand,4,2,22,2,,,,,20.353269541000373,0.0031292090006900253,[0.0397489539748954],[0.16108786610878661],[1],[0],[0],[0.146103041999595],908404,001,2023-04-18_17h13.25.167,crux_code,2022.2.5,59.920605198265065,
head,4,3,23,4,,,,,20.50323275000028,0.002049665999948047,[0.0397489539748954],[0.16108786610878661],[1],[0],[0],[0.1463541670000268],908404,001,2023-04-18_17h13.25.167,crux_code,2022.2.5,59.920605198265065,
feet,4,4,24,0,,,,,20.653205624999828,0.0023021249999146676,[0.0397489539748954],[0.16108786610878661],[1],[0],[0],[0.14644458400016447],908404,001,2023-04-18_17h13.25.167,crux_code,2022.2.5,59.920605198265065,
feet,5,0,25,0,,,,,20.803135250000196,0.00036175000059301965,[0.0397489539748954],[0.16108786610878661],[1],[0],[0],[0.14873858400005702],908404,001,2023-04-18_17h13.25.167,crux_code,2022.2.5,59.920605198265065,
left hand,5,1,26,1,,,,,20.95292691600025,0.003296833000604238,[0.0397489539748954],[0.16108786610878661],[1],[0],[0],[0.14573924999967858],908404,001,2023-04-18_17h13.25.167,crux_code,2022.2.5,59.920605198265065,
eyes,5,2,27,3,,,,,21.103055625000707,0.001900332999866805,[0.0397489539748954],[0.16108786610878661],[1],[0],[0],[0.1308732500001497],908404,001,2023-04-18_17h13.25.167,crux_code,2022.2.5,59.920605198265065,
head,5,3,28,4,,,,,21.23660691600071,0.0021773749995190883,[0.0397489539748954],[0.16108786610878661],[1],[0],[0],[0.1468427919999158],908404,001,2023-04-18_17h13.25.167,crux_code,2022.2.5,59.920605198265065,
right hand,5,4,29,2,,,,,21.38637312500032,0.003464207999968494,[0.0397489539748954],[0.16108786610878661],[1],[0],[0],[0.1618109999999433],908404,001,2023-04-18_17h13.25.167,crux_code,2022.2.5,59.920605198265065,
head,6,0,30,4,,,,,21.552511583000523,0.0019123749998470885,[0.0397489539748954],[0.16108786610878661],[1],[0],[0],[0.14702170900000056],908404,001,2023-04-18_17h13.25.167,crux_code,2022.2.5,59.920605198265065,
feet,6,1,31,0,,,,,21.702981708000152,0.002058624999335734,[0.0397489539748954],[0.16108786610878661],[1],[0],[0],[0.14677974999995058],908404,001,2023-04-18_17h13.25.167,crux_code,2022.2.5,59.920605198265065,
right hand,6,2,32,2,,,,,21.852903957999843,0.002952374999949825,[0.0397489539748954],[0.16108786610878661],[1],[0],[0],[0.14629216600042128],908404,001,2023-04-18_17h13.25.167,crux_code,2022.2.5,59.920605198265065,
eyes,6,3,33,3,,,,,22.003036541000256,0.0018462500001987792,[0.0397489539748954],[0.16108786610878661],[1],[0],[0],[0.13028404200031218],908404,001,2023-04-18_17h13.25.167,crux_code,2022.2.5,59.920605198265065,
,,,,,,,,,22.136568249999982,0.002734415999839257,,,,,,,,,,,,,
