0.7031 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
9.1321 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1470, 956]. Using actual size
9.6696 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x7fc5333f7280>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x7fc4c34e7580>, multiSample=False, name='window1', numSamples=2, pos=[367.5, 239.0], screen=0, size=array([2940, 1912]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
9.6698 	EXP 	window1: mouseVisible = True
9.6706 	EXP 	window1: mouseVisible = False
9.6706 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
9.6706 	EXP 	window1: recordFrameIntervals = False
9.8360 	EXP 	window1: recordFrameIntervals = True
10.0200 	EXP 	Screen (0) actual frame rate measured at 59.92Hz
10.0201 	EXP 	window1: recordFrameIntervals = False
11.4655 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Baskerville', fontFiles=[], height=0.06, italic=False, languageStyle='LTR', name='text', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
11.4660 	EXP 	Created stimulus_text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Baskerville', fontFiles=[], height=0.15, italic=False, languageStyle='LTR', name='stimulus_text', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
11.4661 	EXP 	window1: mouseVisible = True
11.4737 	EXP 	text: autoDraw = True
15.3448 	EXP 	Imported /Users/harpertzou/Desktop/crux_stimulus_final.csv as conditions, 5 conditions, 1 params
15.3459 	EXP 	Created sequence: random, trialTypes=5, nReps=20, seed=None
15.3464 	EXP 	New trial (rep=0, index=0): OrderedDict([('conditions', 'eyes')])
15.3592 	DATA 	Keypress: space
15.3651 	EXP 	text: autoDraw = False
15.3651 	EXP 	stimulus_text: height = 0.15
15.3651 	EXP 	stimulus_text: height = 0.15
15.3651 	EXP 	stimulus_text: height = 0.15
15.3651 	EXP 	stimulus_text: text = 'eyes'
15.3651 	EXP 	stimulus_text: autoDraw = True
16.7697 	DATA 	Mouse: Left button down, pos=(773,632)
16.7721 	EXP 	New trial (rep=0, index=1): OrderedDict([('conditions', 'head')])
16.7852 	EXP 	stimulus_text: autoDraw = False
16.7852 	EXP 	stimulus_text: height = 0.15
16.7852 	EXP 	stimulus_text: height = 0.15
