conditions,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,key_resp.started,key_resp.keys,key_resp.rt,stimulus_text.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,8.782943416000307,8.782943416000307,space,1.4852811259997907,,,,,,,,,aNdy,001,2023-04-18_17h12.01.977,crux_code,2022.2.5,59.867333987619446,
head,0,0,0,4,,,,,10.317702875000577,0.014190832999702252,[0.13912133891213388],[-0.06276150627615062],[1],[0],[0],[2.4231441669999185],aNdy,001,2023-04-18_17h12.01.977,crux_code,2022.2.5,59.867333987619446,
eyes,0,1,1,3,,,,,12.746296207999876,0.00426362500002142,[0.13912133891213388],[-0.06276150627615062],[1],[0],[0],[0.2778838749991337],aNdy,001,2023-04-18_17h12.01.977,crux_code,2022.2.5,59.867333987619446,
head,0,2,2,4,,,,,13.030572041000596,0.0026637909995770315,[0.13912133891213388],[-0.06276150627615062],[1],[0],[0],[0.24584145800054102],aNdy,001,2023-04-18_17h12.01.977,crux_code,2022.2.5,59.867333987619446,
eyes,0,3,3,3,,,,,13.280658583000331,0.002629042000080517,[0.13912133891213388],[-0.06276150627615062],[1],[0],[0],[0.3125766670000303],aNdy,001,2023-04-18_17h12.01.977,crux_code,2022.2.5,59.867333987619446,
left hand,0,4,4,1,,,,,13.596447791000173,0.008162790999449498,[0.13912133891213388],[-0.06276150627615062],[1],[0],[0],[0.325074625000525],aNdy,001,2023-04-18_17h12.01.977,crux_code,2022.2.5,59.867333987619446,
head,1,0,5,4,,,,,13.930750333000105,0.0026325420003558975,[0.13912133891213388],[-0.06276150627615062],[1],[0],[0],[0.31159720799951174],aNdy,001,2023-04-18_17h12.01.977,crux_code,2022.2.5,59.867333987619446,
head,1,1,6,4,,,,,14.245828250000159,0.0001604999997653067,[0.13912133891213388],[-0.06276150627615062],[1],[0],[0],[0.3338054159994499],aNdy,001,2023-04-18_17h12.01.977,crux_code,2022.2.5,59.867333987619446,
eyes,1,2,7,3,,,,,14.58039862500027,0.0027991669994662516,[0.13912133891213388],[-0.07322175732217573],[1],[0],[0],[0.3626572080002006],aNdy,001,2023-04-18_17h12.01.977,crux_code,2022.2.5,59.867333987619446,
feet,1,3,8,0,,,,,14.947443250000106,0.0032486250001966255,[0.13912133891213388],[-0.07635983263598327],[1],[0],[0],[0.3450504580005145],aNdy,001,2023-04-18_17h12.01.977,crux_code,2022.2.5,59.867333987619446,
head,1,4,9,4,,,,,15.297016125000482,0.002089583999804745,[0.13912133891213388],[-0.08263598326359832],[1],[0],[0],[0.33041962500010413],aNdy,001,2023-04-18_17h12.01.977,crux_code,2022.2.5,59.867333987619446,
feet,2,0,10,0,,,,,15.630655333000504,0.0026850829999602865,[0.13912133891213388],[-0.08263598326359832],[1],[0],[0],[0.3128709169996],aNdy,001,2023-04-18_17h12.01.977,crux_code,2022.2.5,59.867333987619446,
right hand,2,1,11,2,,,,,15.946218000000044,0.006124957999418257,[0.13912133891213388],[-0.08263598326359832],[1],[0],[0],[0.3101338329997816],aNdy,001,2023-04-18_17h12.01.977,crux_code,2022.2.5,59.867333987619446,
right hand,2,2,12,2,,,,,16.263679125000635,0.00035820799985231133,[0.13912133891213388],[-0.08263598326359832],[1],[0],[0],[0.2814636249995601],aNdy,001,2023-04-18_17h12.01.977,crux_code,2022.2.5,59.867333987619446,
left hand,2,3,13,1,,,,,16.547247125000467,0.003517415999340301,[0.13598326359832635],[-0.09205020920502092],[1],[0],[0],[0.3282631249994665],aNdy,001,2023-04-18_17h12.01.977,crux_code,2022.2.5,59.867333987619446,
right hand,2,4,14,2,,,,,16.88036883299992,0.0030960410003899597,[0.13598326359832635],[-0.09205020920502092],[1],[0],[0],[0.22974258300018846],aNdy,001,2023-04-18_17h12.01.977,crux_code,2022.2.5,59.867333987619446,
eyes,3,0,15,3,,,,,17.113846166000258,0.0025260410002374556,[0.14958158995815898],[-0.07635983263598327],[1],[0],[0],[0.4300562500002343],aNdy,001,2023-04-18_17h12.01.977,crux_code,2022.2.5,59.867333987619446,
left hand,3,1,16,1,,,,,17.54704966600002,0.00303587499911373,[0.14958158995815898],[-0.07635983263598327],[1],[0],[0],[0.17908150000039313],aNdy,001,2023-04-18_17h12.01.977,crux_code,2022.2.5,59.867333987619446,
right hand,3,2,17,2,,,,,17.730489416000637,0.003672249999908672,[0.14958158995815898],[-0.07635983263598327],[1],[0],[0],[0.17882345799989707],aNdy,001,2023-04-18_17h12.01.977,crux_code,2022.2.5,59.867333987619446,
eyes,3,3,18,3,,,,,17.913586416000726,0.0021302920004018233,[0.14958158995815898],[-0.07635983263598327],[1],[0],[0],[0.19762320800055022],aNdy,001,2023-04-18_17h12.01.977,crux_code,2022.2.5,59.867333987619446,
feet,3,4,19,0,,,,,18.113716666000073,0.002901249999922584,[0.14958158995815898],[-0.07635983263598327],[1],[0],[0],[0.2123585829995136],aNdy,001,2023-04-18_17h12.01.977,crux_code,2022.2.5,59.867333987619446,
left hand,4,0,20,1,,,,,18.33030025000062,0.0038064579994170344,[0.14958158995815898],[-0.07635983263598327],[1],[0],[0],[0.36237625000012486],aNdy,001,2023-04-18_17h12.01.977,crux_code,2022.2.5,59.867333987619446,
right hand,4,1,21,2,,,,,18.697300625000025,0.003470083000138402,[0.14958158995815898],[-0.07635983263598327],[1],[0],[0],[0.29597120900052687],aNdy,001,2023-04-18_17h12.01.977,crux_code,2022.2.5,59.867333987619446,
feet,4,2,22,0,,,,,18.99707162499999,0.0029494999998860294,[0.14958158995815898],[-0.07635983263598327],[1],[0],[0],[0.27826791600000433],aNdy,001,2023-04-18_17h12.01.977,crux_code,2022.2.5,59.867333987619446,
left hand,4,3,23,1,,,,,19.279449708000357,0.00560916599988559,[0.14958158995815898],[-0.07531380753138076],[1],[0],[0],[0.3941171659998872],aNdy,001,2023-04-18_17h12.01.977,crux_code,2022.2.5,59.867333987619446,
feet,4,4,24,0,,,,,19.680852041000435,0.0026697089997469448,[0.08158995815899582],[-0.06171548117154812],[1],[0],[0],[0.3784166659997936],aNdy,001,2023-04-18_17h12.01.977,crux_code,2022.2.5,59.867333987619446,
