0.7228 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
6.4346 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1470, 956]. Using actual size
6.9640 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x7fbc02666370>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x7fbbb2afa580>, multiSample=False, name='window1', numSamples=2, pos=[367.5, 239.0], screen=0, size=array([2940, 1912]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
6.9644 	EXP 	window1: mouseVisible = True
6.9651 	EXP 	window1: mouseVisible = False
6.9652 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
6.9652 	EXP 	window1: recordFrameIntervals = False
7.1305 	EXP 	window1: recordFrameIntervals = True
7.3142 	EXP 	Screen (0) actual frame rate measured at 59.87Hz
7.3142 	EXP 	window1: recordFrameIntervals = False
8.7740 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Baskerville', fontFiles=[], height=0.06, italic=False, languageStyle='LTR', name='text', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
8.7745 	EXP 	Created stimulus_text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Baskerville', fontFiles=[], height=0.15, italic=False, languageStyle='LTR', name='stimulus_text', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
8.7746 	EXP 	window1: mouseVisible = True
8.7829 	EXP 	text: autoDraw = True
10.3027 	EXP 	Imported /Users/harpertzou/Desktop/crux_stimulus_final.csv as conditions, 5 conditions, 1 params
10.3035 	EXP 	Created sequence: fullRandom, trialTypes=5, nReps=5, seed=None
10.3039 	EXP 	New trial (rep=0, index=0): OrderedDict([('conditions', 'head')])
10.3116 	DATA 	Keypress: space
10.3177 	EXP 	text: autoDraw = False
10.3177 	EXP 	stimulus_text: height = 0.15
10.3177 	EXP 	stimulus_text: height = 0.15
10.3177 	EXP 	stimulus_text: height = 0.15
10.3177 	EXP 	stimulus_text: text = 'head'
10.3177 	EXP 	stimulus_text: autoDraw = True
11.4153 	DATA 	Keypress: space
11.7651 	DATA 	Keypress: space
12.7309 	DATA 	Mouse: Left button down, pos=(868,418)
12.7334 	EXP 	New trial (rep=0, index=1): OrderedDict([('conditions', 'eyes')])
12.7463 	EXP 	stimulus_text: autoDraw = False
12.7463 	EXP 	stimulus_text: height = 0.15
12.7463 	EXP 	stimulus_text: height = 0.15
12.7463 	EXP 	stimulus_text: height = 0.15
12.7463 	EXP 	stimulus_text: text = 'eyes'
12.7463 	EXP 	stimulus_text: autoDraw = True
12.8305 	DATA 	Mouse:  Left button up, pos=(868,418)
13.0148 	DATA 	Mouse: Left button down, pos=(868,418)
13.0165 	EXP 	New trial (rep=0, index=2): OrderedDict([('conditions', 'head')])
13.0306 	EXP 	stimulus_text: autoDraw = False
13.0306 	EXP 	stimulus_text: height = 0.15
13.0306 	EXP 	stimulus_text: height = 0.15
13.0306 	EXP 	stimulus_text: height = 0.15
13.0306 	EXP 	stimulus_text: text = 'head'
13.0306 	EXP 	stimulus_text: autoDraw = True
13.1472 	DATA 	Mouse:  Left button up, pos=(868,418)
13.2643 	DATA 	Mouse: Left button down, pos=(868,418)
13.2660 	EXP 	New trial (rep=0, index=3): OrderedDict([('conditions', 'eyes')])
13.2807 	EXP 	stimulus_text: autoDraw = False
13.2807 	EXP 	stimulus_text: height = 0.15
13.2807 	EXP 	stimulus_text: height = 0.15
13.2807 	EXP 	stimulus_text: height = 0.15
13.2807 	EXP 	stimulus_text: text = 'eyes'
13.2807 	EXP 	stimulus_text: autoDraw = True
13.3806 	DATA 	Mouse:  Left button up, pos=(868,418)
13.5805 	DATA 	Mouse: Left button down, pos=(868,418)
13.5822 	EXP 	New trial (rep=0, index=4): OrderedDict([('conditions', 'left hand')])
13.5964 	EXP 	stimulus_text: autoDraw = False
13.5964 	EXP 	stimulus_text: height = 0.15
13.5964 	EXP 	stimulus_text: height = 0.15
13.5964 	EXP 	stimulus_text: height = 0.15
13.5964 	EXP 	stimulus_text: text = 'left hand'
13.5964 	EXP 	stimulus_text: autoDraw = True
13.7137 	DATA 	Mouse:  Left button up, pos=(868,418)
13.9147 	DATA 	Mouse: Left button down, pos=(868,418)
13.9164 	EXP 	New trial (rep=1, index=0): OrderedDict([('conditions', 'head')])
13.9308 	EXP 	stimulus_text: autoDraw = False
13.9308 	EXP 	stimulus_text: height = 0.15
13.9308 	EXP 	stimulus_text: height = 0.15
13.9308 	EXP 	stimulus_text: height = 0.15
13.9308 	EXP 	stimulus_text: text = 'head'
13.9308 	EXP 	stimulus_text: autoDraw = True
14.0815 	DATA 	Mouse:  Left button up, pos=(868,418)
14.2303 	DATA 	Mouse: Left button down, pos=(868,418)
14.2310 	EXP 	New trial (rep=1, index=1): OrderedDict([('conditions', 'head')])
14.2458 	EXP 	stimulus_text: autoDraw = False
14.2458 	EXP 	stimulus_text: text = 'head'
14.2458 	EXP 	stimulus_text: autoDraw = True
14.3486 	DATA 	Mouse:  Left button up, pos=(868,418)
14.5642 	DATA 	Mouse: Left button down, pos=(868,418)
14.5665 	EXP 	New trial (rep=1, index=2): OrderedDict([('conditions', 'eyes')])
14.5804 	EXP 	stimulus_text: autoDraw = False
14.5804 	EXP 	stimulus_text: height = 0.15
14.5804 	EXP 	stimulus_text: height = 0.15
14.5804 	EXP 	stimulus_text: height = 0.15
14.5804 	EXP 	stimulus_text: text = 'eyes'
14.5804 	EXP 	stimulus_text: autoDraw = True
14.6808 	DATA 	Mouse:  Left button up, pos=(868,418)
14.9311 	DATA 	Mouse: Left button down, pos=(868,408)
14.9331 	EXP 	New trial (rep=1, index=3): OrderedDict([('conditions', 'feet')])
14.9474 	EXP 	stimulus_text: autoDraw = False
14.9474 	EXP 	stimulus_text: height = 0.15
14.9474 	EXP 	stimulus_text: height = 0.15
14.9474 	EXP 	stimulus_text: height = 0.15
14.9474 	EXP 	stimulus_text: text = 'feet'
14.9474 	EXP 	stimulus_text: autoDraw = True
15.0307 	DATA 	Mouse:  Left button up, pos=(868,408)
15.2806 	DATA 	Mouse: Left button down, pos=(868,405)
15.2822 	EXP 	New trial (rep=1, index=4): OrderedDict([('conditions', 'head')])
15.2970 	EXP 	stimulus_text: autoDraw = False
15.2970 	EXP 	stimulus_text: height = 0.15
15.2970 	EXP 	stimulus_text: height = 0.15
15.2970 	EXP 	stimulus_text: height = 0.15
15.2970 	EXP 	stimulus_text: text = 'head'
15.2970 	EXP 	stimulus_text: autoDraw = True
15.3804 	DATA 	Mouse:  Left button up, pos=(868,405)
15.6140 	DATA 	Mouse: Left button down, pos=(868,399)
15.6156 	EXP 	New trial (rep=2, index=0): OrderedDict([('conditions', 'feet')])
15.6307 	EXP 	stimulus_text: autoDraw = False
15.6307 	EXP 	stimulus_text: height = 0.15
15.6307 	EXP 	stimulus_text: height = 0.15
15.6307 	EXP 	stimulus_text: height = 0.15
15.6307 	EXP 	stimulus_text: text = 'feet'
15.6307 	EXP 	stimulus_text: autoDraw = True
