0.7119 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
5.5832 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1470, 956]. Using actual size
6.1169 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x7f8e9347f1f0>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x7f8e3c12f5b0>, multiSample=False, name='window1', numSamples=2, pos=[367.5, 239.0], screen=0, size=array([2940, 1912]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
6.1171 	EXP 	window1: mouseVisible = True
6.1182 	EXP 	window1: mouseVisible = False
6.1183 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
6.1183 	EXP 	window1: recordFrameIntervals = False
6.2838 	EXP 	window1: recordFrameIntervals = True
6.4674 	EXP 	Screen (0) actual frame rate measured at 59.98Hz
6.4674 	EXP 	window1: recordFrameIntervals = False
7.9223 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Baskerville', fontFiles=[], height=0.06, italic=False, languageStyle='LTR', name='text', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
7.9227 	EXP 	Created stimulus_text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Baskerville', fontFiles=[], height=0.15, italic=False, languageStyle='LTR', name='stimulus_text', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
7.9229 	EXP 	window1: mouseVisible = True
7.9309 	EXP 	text: autoDraw = True
15.8904 	EXP 	Imported /Users/harpertzou/Desktop/crux_stimulus_final.csv as conditions, 5 conditions, 1 params
15.8914 	EXP 	Created sequence: random, trialTypes=5, nReps=5, seed=None
15.8918 	EXP 	New trial (rep=0, index=0): OrderedDict([('conditions', 'eyes')])
15.8995 	DATA 	Keypress: space
15.9054 	EXP 	text: autoDraw = False
15.9054 	EXP 	stimulus_text: height = 0.15
15.9054 	EXP 	stimulus_text: height = 0.15
15.9054 	EXP 	stimulus_text: height = 0.15
15.9054 	EXP 	stimulus_text: text = 'eyes'
15.9054 	EXP 	stimulus_text: autoDraw = True
22.8854 	EXP 	New trial (rep=0, index=1): OrderedDict([('conditions', 'right hand')])
22.9020 	EXP 	stimulus_text: autoDraw = False
22.9020 	EXP 	stimulus_text: height = 0.15
22.9020 	EXP 	stimulus_text: height = 0.15
22.9020 	EXP 	stimulus_text: height = 0.15
22.9020 	EXP 	stimulus_text: text = 'right hand'
22.9020 	EXP 	stimulus_text: autoDraw = True
24.5179 	DATA 	Mouse: Left button down, pos=(900,154)
24.5198 	EXP 	New trial (rep=0, index=2): OrderedDict([('conditions', 'feet')])
24.5328 	EXP 	stimulus_text: autoDraw = False
24.5328 	EXP 	stimulus_text: height = 0.15
24.5328 	EXP 	stimulus_text: height = 0.15
24.5328 	EXP 	stimulus_text: height = 0.15
24.5328 	EXP 	stimulus_text: text = 'feet'
24.5328 	EXP 	stimulus_text: autoDraw = True
24.5997 	DATA 	Mouse:  Left button up, pos=(900,154)
26.6841 	DATA 	Mouse: Left button down, pos=(900,154)
26.6860 	EXP 	New trial (rep=0, index=3): OrderedDict([('conditions', 'head')])
26.7002 	EXP 	stimulus_text: autoDraw = False
26.7002 	EXP 	stimulus_text: height = 0.15
26.7002 	EXP 	stimulus_text: height = 0.15
26.7002 	EXP 	stimulus_text: height = 0.15
26.7002 	EXP 	stimulus_text: text = 'head'
26.7002 	EXP 	stimulus_text: autoDraw = True
26.7667 	DATA 	Mouse:  Left button up, pos=(900,154)
26.9841 	DATA 	Mouse: Left button down, pos=(900,154)
26.9859 	EXP 	New trial (rep=0, index=4): OrderedDict([('conditions', 'left hand')])
27.0002 	EXP 	stimulus_text: autoDraw = False
27.0002 	EXP 	stimulus_text: height = 0.15
27.0002 	EXP 	stimulus_text: height = 0.15
